height_diff,weight_diff,reach_diff,winner
10.16,4.54,-2.54,1
12.7,0,2.54,1
-10.16,0,-12.7,1
0,-0.45,-2.54,1
0,0,2.54,0
2.54,0,7.62,1
2.54,-4.53,-2.54,0
5.08,0,12.7,1
2.54,0,2.54,1
-5.08,0,-5.08,1
0,0,10.16,0
-5.08,0,-10.16,0
0,0,2.54,0
10.16,0,7.62,0
10.16,-0.46,12.7,1
-2.54,0,-15.24,0
-10.16,-4.54,0,0
7.62,0,5.08,1
0,0,2.54,0
-2.54,0,-5.08,0
-7.62,0,-10.16,1
7.62,0,20.32,1
-5.08,0,-7.62,0
-5.08,4.53,-5.08,0
-12.7,0,-22.86,1
10.16,4.54,12.7,0
-7.62,-9.08,-15.24,0
-5.08,9.08,2.54,0
12.7,0,7.62,0
-2.54,0,-2.54,1
0,0,-10.16,1
0,13.6,-7.62,0
2.54,0,17.78,0
-5.08,0,-5.08,1
0,6.8,-5.08,0
-15.24,0,-12.7,1
-7.62,0,7.62,0
-5.08,0,2.54,1
-10.16,0,0,1
-2.54,0,-7.62,0
2.54,0,2.54,0
2.54,0,5.08,1
7.62,4.53,-5.08,1
7.62,0,10.16,0
-7.62,0,-15.24,1
0,0,5.08,1
-5.08,0,-15.24,1
5.08,0,5.08,1
-5.08,0,2.54,1
-7.62,0,-5.08,1
2.54,0,2.54,1
-7.62,0,-2.54,1
-5.08,0,-2.54,1
0,0,-5.08,0
0,0,12.7,0
-5.08,0,-5.08,0
0,0,2.54,1
-12.7,0,-2.54,1
2.54,0,7.62,0
2.54,0,0,1
2.54,0,12.7,1
2.54,0,2.54,1
-2.54,0,-5.08,0
7.62,0,2.54,0
5.08,0,0,1
-2.54,16.78,5.08,1
15.24,0,-2.54,1
0,6.8,-2.54,1
2.54,0,-5.08,1
0,0,2.54,1
2.54,4.53,-5.08,1
-7.62,0,-15.24,1
10.16,13.6,5.08,0
-5.08,0,-10.16,1
-2.54,3.18,-22.86,0
-2.54,0,2.54,0
-5.08,0,-2.54,1
-7.62,0,-10.16,0
2.54,0,2.54,1
-5.08,0,2.54,1
-5.08,0,0,0
0,0,-2.54,1
-2.54,0,-2.54,0
-2.54,0,-5.08,1
10.16,0,20.32,1
0,-4.53,0,0
2.54,0,10.16,0
-5.08,0,-2.54,1
12.7,0,10.16,1
-7.62,0,-7.62,1
5.08,0,10.16,0
7.62,0,2.54,1
-10.16,0,-25.4,1
2.54,0,10.16,1
-12.7,0,-15.24,1
0,-9.08,2.54,0
-7.62,0,0,0
2.54,0,2.54,1
-7.62,0,2.54,0
5.08,0,7.62,1
-10.16,0,-2.54,0
-2.54,0,-5.08,0
0,4.54,10.16,1
0,6.8,2.54,1
2.54,0,0,1
0,0,-2.54,1
-2.54,0,-7.62,1
-7.62,4.54,-12.7,0
10.16,0,-2.54,1
5.08,0,0,0
5.08,0,15.24,1
-2.54,0,0,0
-7.62,0,-5.08,1
5.08,0,0,1
-10.16,0,0,1
-2.54,0,-10.16,1
5.08,0,5.08,1
2.54,0,0,0
2.54,0,-5.08,0
-2.54,0,5.08,1
7.62,0,5.08,0
7.62,0,-2.54,0
0,-2.27,-5.08,1
10.16,0,2.54,0
5.08,0,0,0
-5.08,0,2.54,0
5.08,-5.9,5.08,0
15.24,0,17.78,0
2.54,0,-2.54,0
7.62,0,-5.08,1
-2.54,4.54,5.08,1
0,0,10.16,0
2.54,4.54,10.16,1
-10.16,0,-12.7,0
0,0,5.08,1
5.08,0,7.62,0
2.54,0,0,1
10.16,0,0,0
-2.54,0,-5.08,0
-5.08,0,2.54,1
5.08,0,-12.7,1
0,0,-2.54,1
-5.08,0,5.08,1
2.54,0,-5.08,1
0,4.54,0,0
2.54,9.08,7.62,0
-5.08,0,-5.08,1
7.62,0,2.54,0
0,0,-5.08,1
7.62,0,7.62,0
-7.62,0,-2.54,1
-5.08,0,-2.54,1
2.54,0,5.08,1
12.7,0,7.62,0
-2.54,0,0,0
15.24,0,20.32,1
0,0,-7.62,1
7.62,0,10.16,1
2.54,0,7.62,1
-2.54,0,10.16,0
-10.16,-4.53,-17.78,1
-5.08,0,-2.54,1
-2.54,0,5.08,0
-2.54,-4.53,-5.08,0
-7.62,0,-12.7,1
7.62,0,7.62,1
0,-6.8,12.7,0
-2.54,0,2.54,1
10.16,0,2.54,1
0,-18.59,-12.7,0
-2.54,0,2.54,1
7.62,0,2.54,1
7.62,0,7.62,1
2.54,0,5.08,0
-5.08,0,-12.7,1
2.54,4.54,12.7,0
-10.16,0,0,0
-12.7,0,-10.16,1
2.54,6.8,0,1
-2.54,6.8,-15.24,1
-2.54,0,-7.62,0
-5.08,0,-10.16,1
12.7,0,17.78,1
-12.7,0,-2.54,0
-2.54,0,2.54,1
-2.54,0,-7.62,1
15.24,-15.87,7.62,0
-10.16,-4.54,-7.62,1
2.54,0,-5.08,0
-2.54,0,7.62,0
-5.08,0,-10.16,0
5.08,-8.62,15.24,1
0,0,-2.54,1
12.7,6.8,-2.54,1
0,0,-2.54,0
2.54,0,0,1
7.62,0,0,0
5.08,0,7.62,1
-5.08,0,-10.16,0
7.62,0,12.7,1
0,4.54,5.08,1
-7.62,0,-2.54,0
2.54,0,5.08,1
-5.08,0,5.08,0
-5.08,0,-12.7,1
2.54,0,5.08,0
0,0,-2.54,0
2.54,0,10.16,1
2.54,-5.9,7.62,1
7.62,0,17.78,0
0,0,-17.78,0
-2.54,0,0,1
0,0,5.08,1
-5.08,0,0,0
0,0,5.08,1
-5.08,0,-5.08,1
0,0,-5.08,1
5.08,0,10.16,0
2.54,0,-5.08,1
-2.54,0,-7.62,0
2.54,0,7.62,1
0,13.15,-2.54,1
-2.54,-4.54,0,0
-15.24,0,-7.62,1
0,0,12.7,0
-5.08,0,-5.08,0
-5.08,0,-7.62,0
0,15.42,7.62,1
-7.62,0,2.54,0
0,2.27,-2.54,0
-2.54,0,-5.08,1
5.08,0,2.54,0
7.62,0,10.16,1
-10.16,0,-25.4,1
0,0,-5.08,1
-5.08,0,0,0
7.62,0,2.54,1
0,1.36,-12.7,0
-2.54,0,5.08,1
-2.54,0,-2.54,1
-5.08,0,-7.62,1
0,0,5.08,1
5.08,0,0,1
-2.54,0,5.08,1
2.54,4.53,-5.08,1
-7.62,9.08,7.62,1
0,0,-12.7,1
-2.54,4.08,5.08,1
7.62,0,5.08,1
2.54,0,5.08,1
-5.08,0,-5.08,1
0,0,2.54,1
2.54,-9.08,2.54,0
7.62,0,5.08,0
2.54,0,7.62,1
-7.62,0,0,1
-5.08,0,2.54,0
-5.08,0,0,1
5.08,4.54,15.24,1
5.08,0,17.78,0
0,0,-7.62,0
-7.62,0,-5.08,0
-2.54,0,-7.62,0
2.54,0,2.54,1
0,0,-5.08,1
5.08,0,15.24,1
-2.54,-4.53,5.08,1
7.62,0,-10.16,1
-5.08,-4.54,-5.08,1
7.62,0,0,1
-2.54,0,-5.08,1
2.54,0,2.54,0
7.62,0,10.16,0
0,0,-2.54,0
-12.7,0,10.16,1
-2.54,0,-5.08,0
0,6.8,5.08,0
-2.54,0,-7.62,1
-5.08,0,-2.54,0
0,0,-7.62,1
2.54,0,0,1
12.7,4.54,10.16,1
10.16,0,22.86,1
0,0,-2.54,0
12.7,0,7.62,1
-12.7,0,5.08,1
-7.62,-9.08,-7.62,0
-2.54,-6.8,5.08,0
-20.32,0,-15.24,0
-12.7,0,-5.08,1
12.7,6.8,2.54,1
0,0,-5.08,0
-2.54,0,2.54,0
2.54,0,2.54,0
-5.08,4.53,-5.08,0
-7.62,0,5.08,0
5.08,0,7.62,0
2.54,9.98,0,1
-2.54,0,-2.54,1
5.08,-4.53,7.62,0
-5.08,0,5.08,1
10.16,9.08,0,1
-2.54,0,-7.62,1
5.08,0,5.08,0
-5.08,4.53,0,0
-7.62,0,-7.62,0
-2.54,0,-15.24,1
12.7,0,5.08,0
-2.54,0,-15.24,0
-2.54,-6.8,2.54,1
-2.54,0,5.08,1
-2.54,0,-7.62,0
-5.08,0,0,1
7.62,0,7.62,0
5.08,0,2.54,0
2.54,0,12.7,1
2.54,0,5.08,1
2.54,0,12.7,0
15.24,0,17.78,1
-2.54,0,0,1
-2.54,0,-10.16,0
-2.54,0,-5.08,1
-5.08,0,-5.08,1
2.54,0,2.54,0
2.54,0,-7.62,1
5.08,0,2.54,0
0,0,-10.16,1
12.7,0,5.08,1
5.08,0,7.62,1
5.08,4.54,5.08,0
-2.54,0,-10.16,0
12.7,3.63,5.08,1
0,0,-2.54,0
-7.62,0,0,1
5.08,0,20.32,1
-7.62,0,5.08,1
2.54,0,2.54,0
2.54,0,-7.62,1
10.16,4.54,7.62,1
5.08,0,2.54,0
10.16,0,5.08,0
5.08,0,7.62,1
0,0,-5.08,1
-2.54,0,-2.54,1
0,0,2.54,0
-2.54,-6.8,0,0
5.08,-6.8,15.24,1
10.16,0,15.24,0
7.62,0,5.08,0
15.24,0,15.24,1
7.62,-27.21,10.16,1
-5.08,-6.8,5.08,0
-2.54,0,0,1
12.7,4.54,12.7,1
-5.08,0,-2.54,0
-5.08,0,0,1
10.16,0,10.16,1
-2.54,0,2.54,1
15.24,0,5.08,1
-2.54,0,2.54,0
-5.08,0,-2.54,1
-2.54,0,-2.54,1
-2.54,0,5.08,1
0,0,7.62,0
-2.54,0,10.16,1
10.16,4.54,5.08,0
-7.62,0,-12.7,1
-5.08,0,-10.16,0
7.62,0,2.54,1
-10.16,0,-10.16,1
10.16,0,12.7,1
2.54,0,-5.08,1
-5.08,-1.36,-5.08,1
-5.08,6.8,0,1
0,0,-10.16,1
-2.54,4.53,-2.54,0
-5.08,0,0,1
0,0,2.54,0
0,4.53,-2.54,1
7.62,0,5.08,0
-2.54,0,-10.16,0
0,0,7.62,1
-5.08,5.44,-7.62,1
0,0,5.08,0
-7.62,-6.8,-7.62,1
-2.54,0,2.54,1
-2.54,0,7.62,0
7.62,0,7.62,0
-7.62,0,-5.08,0
-5.08,0,-7.62,1
0,4.54,5.08,0
2.54,9.08,7.62,0
0,6.8,5.08,0
5.08,0,15.24,1
-5.08,0,-5.08,1
2.54,6.8,-2.54,1
2.54,0,-10.16,0
-10.16,0,-5.08,0
0,0,7.62,0
-7.62,6.8,10.16,1
5.08,0,0,0
-5.08,0,0,1
5.08,0,10.16,1
7.62,0,5.08,1
5.08,0,5.08,1
0,0,-2.54,0
-7.62,0,-2.54,1
-7.62,0,0,1
-17.78,0,-5.08,0
-5.08,0,-2.54,1
-2.54,0,5.08,0
-15.24,0,-17.78,1
-2.54,0,-2.54,1
0,4.54,10.16,1
-10.16,-6.8,-10.16,0
7.62,0,7.62,1
5.08,0,0,0
10.16,0,5.08,1
-10.16,0,-2.54,1
-2.54,0,-2.54,0
2.54,0,2.54,0
-5.08,-11.34,0,1
2.54,0,0,1
0,4.54,7.62,1
2.54,27.21,10.16,1
2.54,0,-2.54,0
0,-6.8,7.62,0
5.08,0,-5.08,0
10.16,0,10.16,1
-2.54,0,10.16,1
2.54,0,-2.54,1
5.08,0,-7.62,1
-10.16,0,-7.62,1
-7.62,0,-2.54,0
2.54,0,-5.08,1
2.54,0,7.62,1
5.08,-2.72,5.08,0
-10.16,-4.54,-12.7,1
5.08,0,5.08,1
2.54,0,-2.54,1
-5.08,-4.54,-17.78,1
15.24,4.54,20.32,0
-7.62,0,0,0
0,-9.98,-20.32,0
0,9.08,2.54,0
5.08,4.54,10.16,1
0,0,-12.7,0
0,0,7.62,1
-2.54,0,2.54,0
-5.08,0,0,0
